amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
"1,217",I lost my insurance and had to return my CPAP.,U.S. Dollar,,of $1.2k goal,19,"I used to be outdoors constantly, working on my hobby farm, repairing
  my antique tractor and riding snowmobiles, sailing, and riding my
  motorcycles.  I've always had sleep issues and had fought against an
  irregular sleep pattern which eventually became too much and my sleep
  pattern started to free-run on a 26 hour circadian rhythm. The
  hypernychthemeral disorder was in addition to a long history of light
  sensitivity and I had struggled with both from puberty on. This winter I was diagnosed with obstructive sleep apnea and two
  months ago, I was given a CPAP machine to help me keep breathing
  during sleep. Recently, we lost our insurance which means that I will
  be losing my CPAP machine that was thirty days from being paid for by
  insurance and my risks of both heart attack and stroke will
  essentially triple. I hate asking for help but have no other option as we cannot
  afford health insurance that will cover the CPAP and still allow us
  luxuries like food and heat, let alone internet access. I was forced to return the machine on Tuesday the 18th but I had
  already planned ahead for that. The goal is the same, to replace the
  CPAP I no longer have with one of two choices, they are equivalent
  machines and provide exactly the same support I need and that my
  prescription calls for (these are prescribed devices, I should not be
  able to buy one at Amazon or Ebay at all by law). I will be posting
  links to the two options below. My preference is actually for the
  lower priced one but I had based this campaign on the other one since
  that's specifically what was ordered on my prescription that also
  states that substitutions are allowed. I would appreciate any help at all, my wife, son, and I are
  doing all we can but that doesn't make it feasible, or even possible
  at this point without additional help. Preferred due to other user's referrals https://helpmedicalsupplies.com/products/dreamclean-500-dreamstation-complete-autopap-kit-w-soclean-2?variant=9978908246131 I only have two months of personal experience with this machine
  but it worked great for me https://helpmedicalsupplies.com/collections/cpap-bundles/products/airpack-auto-airsense-10-autoset-bundle-package-w-soclean-2",https://fundrazr.com/CPAP-Help
"16,660",URGENTLY NEEDED New Hips for Christian McCudden!!,Australian Dollar,"Nov 21, 2018",of $81k goal,29,"Hi, my wife and I have been friends with Christian and Melissa for nearly
    twenty years... it has been many years since we have caught up with
    this wonderful family and after a recent phone conversation with
    Christian we have only just now learned of the ongoing physical
    hardship he has been going through over the years and the very
    difficult decision he has just had to make..... After our chat I thought there has to be something we can do to
    help, so I have setup this campaign in the hope that you will all
    join us in standing together to make a massive difference to
    Christian’s upcoming journey! Following is a snapshot of the McCudden family and Christian’s
    journey so far and the reasons why our donations are so very vital
    and impactful at this time for them... Christian has been married to Melissa for 21 yrs. and they have
    3 three amazing children, Noah, Ella and Zachary. In 2013 Christian & Melissa moved from their home in
    Sydney's northern beaches leaving family, friends and working at C3
    Oxford falls as one of the full time pastors, and planted C3 church
    Noosa, launching in May of 2013. Prior to planting C3 Noosa they were a part of C3 Oxford falls
    for 20 years. Over that time Christian fulfilled many roles in various
  areas including: Youth ministry for 12yrs / Pastoring / Lecturing in the Bible College. Travelled with and assisted Ps Phil for 6 years. Project managed the buildings and renovations that went on over the
  years at C3 Oxford falls. Christian has also over many years ministered in Church's throughout
  Australia, New Zealand, America, Europe, Asia and Indonesia seeing
  many people saved, healed and touched by the power of God. He has also seen over the year’s incredible healings and testimonies. Blind eyes opened / Deaf ears opened / Cancer healed Crippled people getting out of wheel chairs / Stroke patients healed
  and walking and speaking. Pain leaving bodies immediately / Blood conditions healed / People
  who were suicidal set free Dead raised to life / Arthritis conditions healed Broken bones healed instantly… and many more stories to be told. Christian and Melissa have now been on the Sunshine Coast QLD for 5
  1/2 years with C3 Noosa just celebrating its 5th birthday.  A church
  that is vibrant, growing, and impacting many lives in their local
  community and beyond. As this all still continues to grow and function
  Christian currently works part time for their church C3 Noosa and full
  time as a carpenter, building on job sites. Over the past 8 years Christian has
    suffered with pain in his body from a gradual degenerative arthritic
    condition in both his hips. In the past 4 years the pain has become
    very intense with major side effects such as only being able to
    sleep a couple of sound hours a night, having limited movement,
    unable to exercise or do the physical things he loves to do and
    especially with his kids. Two years ago Christian had the
    opportunity to go over to the U.S to get stem cell treatment in both
    hips which has helped to a small degree but has not been able to see
    the full benefits due to his current working activity of being on
    the tools building. Building over the last few years
      has taken a huge toll on his body and made the pain more intense.
      Christian has now come to a place where he cannot physically
      continue to do his work labouring as a builder, due to the extreme
      pain and limited movement. He has no other option left other than to proceed with
      further treatment being a double hip replacement! A double hip replacement and the extensive rehabilitation
        involved is quite costly and the road to full recovery is a good
        6 to12 months! In a matter of days Christian will have no income from building as he has had to give notice and quit due to his bodies inability
    to function sufficiently in the way needed to perform his role as a
    builder and his bodies pain levels have reached a crippling level. Christian needs our help NOW! The results from this will be amazing! It will give Christian back his quality of life! It will give
      him back the things that we take for granted like having a full
      night’s sleep, having no crippling pain, being able to exercise,
      and the ability to do normal life activities with his children
      while they are still young! We would love to enable Christian to get this surgery done ASAP
      and for him to have the appropriate time required for a full recovery. It is a costly procedure and the post-operative rehabilitation
      expenses required will be quite high. To enable Christian to have the procedure and the necessary
        time off not needing to labour physically in the building
        industry is a minimum of six months..... So that’s what we have
        based the amount of funds needed to raise on: - The double hip
        replacement surgery, rehabilitation and physical therapy for six
        months and funds to keep the family afloat while Christian is
        unable to work. So we kindly ask you to consider donating to help bless
        Christian and his family at this time as they make plans towards
        treatment, surgery and rehabilitation. Christian has been such a faithful servant and blessing to so
      many lives over the years. A servant’s heart through and through
      and one of the most generous people you will ever meet. If you are reading this then you have probably been blessed in
        some form either directly or indirectly from the big hearted
        kindness of this faithful man. We now we get the opportunity to sow back into this rich soil of
    an amazing family and help them in their time of need! They are so humble and never complain most people wouldn’t even
      know about this ongoing struggle over the years and how Christian
      has been enduring such pain in his body while going about blessing others! Let’s all band together to quickly raise the funds for this
        much needed surgery! If we all dig deep, give what we can and pass this on to our
        various friends and networks then Christian will be on the road
        to recovery before we know it... Thank you all for your thoughts, prayers and generous donations.... God Bless!!",https://fundrazr.com/f1MWCb
820,Leg amputation avoided! Very slow-healing recovery,U.S. Dollar,,of $14.8k goal,22,"We need urgent help - can you reach out to us? My name is Maria del
  Rocio Garcia, and I have setup this Fundrazer page for my S/O
  (Significant Other/Fiance) Thomas Ernst.  (He is German so there is a
  summary in his language below this English text) He was
  hospitalized with a aggressive tissue decaying infection in his left
  leg below the knee December 2016 with the initial diagnoses by several
  doctors to amputate the leg above the knee. Dr. Mar Chavira at
  Salvatierra hospital in La Paz did not share that opinion and
  initiated treatment and procedures to rescue the limb and avoid an
  pending amputation. The goal of this fundraising..if met...would
  cover our medical expenses incurred so far (+/-9,500,-US $) as well
  the cost of living / debt accumulated during the time of the illness
  and recovery without any income and would supply the funding required
  to find another rental moving to a better location with option to work
  for him (+/- 5500,-US $) Please read explanation in details further
  down and in the blog we have started. Basically we are not capable on our own power to leave the
  sub-average lifestyle zone we are in right now and funding would
  provide a huge help to Thomas Ernst and me assisting to restart our
  life to a ""normal"", simple lifestyle level again. This
  is basically ""our story"" in a nutshell. Please read in
  detail below and may consider making a donation to allow T.E. to get
  back to work, to manage the significant debt accumulated from his
  battle with the infection. A donation of any kind will be greatly
  appreciated and would be a huge help. Also, please feel free to
  forward on the link to anyone you think might be interested in
  supporting the cause. Please use this contact form If you have
  any questions. Otherwise, thank you for your time and consideration of
  this effort to help Thomas Ernst and
  me. --------------------------------------------------- We
  do not have a professional background to create such fundraiser pages
  as this here in the proper way and writing. My English also has
  severe flaws and I apologize for that. It is work in progress as
  we been forced to change the fundraiser platform due to the
  circumstances that prior used crowdfund Youcaring merged with GoFundMe
  and by their policy is Mexico a Non-GoFundMe supported Country
    and they will shut down. You find info on this here You can see screenshots of received donations during the past 2
  weeks here on our blog . The prior campaign did not generate any support since put online June
  2017 until Maria and a local good Samaritan, Francisco Lopez, reached
  out at the Baja Nomads forum and made the
  situation known at the beginning of May 2018. Them folks made already
  a HUGE impact on our life. Having everyday ""real"" food
  (prior eating for weeks beans & rice or Marushan), all medical
  supplies required and having made some payments to most pressing debt
  collectors, have electricity and communication secured. All this is
  already a big relieve creating some breathing space. Also here
  you find the progress in several sets of images from December 2016 on
  until August 2017 when we had to see phone with camera used. Please be
  aware - some of this images are VERY graphical and not for everybody's
  stomach to view!!! Album - Gallery until August 2017 here on Google documents . We have genuinely tried during the past 18 month to progress yet the
  combination of advancing the healing with ambulant treatment (the
  first 6 month 2-3x per week hospital visits), the cost of medication,
  medical supplies and transportation, basic cost of living - rent,
  electricity, telefon, food was in dimensions to large to cope for us.
  Ernst Thomas has no family or relatives, Maria has a small income from
  a clerical position in a hotel working night-shifts. We have sold any valuables to create funds, we have no vehicle. Ernst
  Thomas was still recovering from the impact hurricane Norbert and
  Odile created 2014. ###################################################################### German Summary - E.T. ist jederzeit bereit mit Ihnen in Deutsch zu kommunizieren und evtl. Fragen zur
  Sachlage zu beantworten! ###################################################################### Mein Name ist Maria del Rocio Garcia, und ich habe diese
    Fundrazer-Seite für meinen Verlobten Thomas Ernst
    eingerichtet. Er wurde mit einer aggressiven
    Gewebeverfall-Infektion in seinem linken Bein unterhalb des Knies im
    Dezember 2016 ins Krankenhaus eingeliefert, wobei mehrere Ärzte
    zunächst das Bein über dem Knie amputierten wollten. Dr. Mar
    Chavira vom Salvatierra-Krankenhaus in La Paz teilte diese Meinung
    nicht und leitete eine Behandlung und Verfahren ein, um das Glied zu
    retten und eine bevorstehende Amputation zu vermeiden. Das Ziel
    dieser Spendenaktion - falls wir es erreichen koennten - wäre unsere
    bisher angefallenen Arztkosten (+/- 9.500, - US $) sowie die während
    der Zeit der Krankheit akkumulierten Lebenshaltungskosten /
    -schulden und die einkommenslose Genesungzeit zu tragen und eine
    Finanzierung bereitstellen, die benötigt wird, um eine andere
    Wohngelegenheit zu finden, die zu einem besseren Standort mit der
    Möglichkeit bewegt, für ihn zu arbeiten (+/- 5500,-US $). Grundsätzlich sind wir nicht in der Lage, die
    unterdurchschnittliche Lebenstil, in der wir uns gerade befinden,
    aus eigener Kraft zu verlassen, und die Finanzierung würde Thomas
    Ernst und mir helfen, unser Leben wieder auf ein
    ""normales"", einfaches Niveau zu bringen. Dies ist im
    Grunde genommen ""unsere Geschichte"". Bitte lesen Sie
    im Detail unten und erwägen Sie möglicherweise eine Spende, um T.E.
    um wieder an die Arbeit zu gehen, um die beträchtlichen Schulden zu
    verwalten, die sich aus seinem Kampf gegen die Infektion angesammelt
    haben. Eine Spende jeglicher Art wird sehr geschätzt und wäre
    eine große Hilfe. Bitte zögern Sie auch nicht, den Link an alle
    weiterzuleiten, von denen Sie glauben, dass sie die Sache
    unterstützen könnten. Bitte benutzen Sie dieses Kontaktformular , wenn
    Sie Fragen haben. Ansonsten danke ich Ihnen für Ihre Zeit und
    Überlegung, diese Bemühungen Thomas Ernst und mir zu helfen.",https://fundrazr.com/gofundmyleg
255,Cuddle Bears for CHKD cancer patients!,U.S. Dollar,,of $1k goal,7,"Hello! My name is Theresa Walker, and I am a Team Leader with Usborne
  Books & More! I am passionate about spreading happiness to
  children, particularly through reading and literacy. This cause is close to my heart, because it will put a smile on the
  face of brave children in their times of struggle. I want each young
  patient who enters CHKD later this year to be met with a Cuddle Bear
  book and plush! I can make that goal a reality with YOUR help. Each Cuddle Bear set (book and plush) costs $25. Any small amount
  that you can help donate - even just $5! - will help put a smile on
  the face of a child in need of a pick-me-up. :) AND, 5% of the proceeds from each set purchased is donated to the
  Scott Carter Foundation to help eliminate pediatric cancer for good. #cuddlesagainstcancer",https://fundrazr.com/cuddlesagainstcancer
"3,770",Support for Treva - Breast Cancer Journey - Part III,,,,,"The post below is from Treva's blog, OneGoodBoob ,  where she chronicles her breast
  cancer journey that started way back in 2005. She
  hoped that new posts wouldn't be necessary.  But unfortunately, she
  received some bad news.  Breast cancer.  Again.  For the third time.
   I'll borrow the title from one of her early posts... ""Ain't That Some Shit!"" If you're reading this, you know Treva's personality and can hear her
  voice and brutal honest truth in those words.  You also know her
  strength - her ability to fight endlessly and to also be there for
  every single person when they need her. The financial burden of cancer is beyond tremendous.  It's hard
  enough to go through treatment and all that comes with it.  We want
  for Treva, Marshall and Bella to not feel the strain of medical bills.
   We want for their lives to continue as normally as possible during
  this time.  Would you help make this possible? Hundreds and hundreds of people love Treva and her beautiful
  family. Please share so that we can reach everyone who cares and wants
  to help. We love you Treva!!! http://www.onegoodboob.wordpress.com/2018/10/09/being-water/ Be water. Whatever forms of water this journey of life requires of you A stream, a drip, a tsunami, a gentle rain or maybe the waves of the oceans For water always finds a way September 7th was not a good day.  The week had been a cluster of
  tests and biopsies.  Once again, for the third time, I was told that I
  had cancer.  I was somewhat surprised by my reaction.  If you have
  read my prior blog posts, you know that I always felt that I was
  “running from the monster”.  Maybe I knew that he would one day catch
  me again.  Whatever the reason, I remained eerily calm in the face of
  this storm.  This time it is in the other breast, the “one good boob”. Life has thrown me many curve balls, as it does with us all.  I
  decided this time not to waste energy on being angry or super sad.  I
  am facing this fight focused and confident.  I am going into this
  battle as a seasoned warrior.  I will not lose.  I will beat it
  again.  I will be here for my daughter, my husband, my family and my friends.",https://fundrazr.com/forourfriendtreva
"8,215",Hannah's Heroes,U.S. Dollar,,of $177k goal,195,"Our daughter Hannah was born with 2 very rare diseases 1 called C.A.H
  and the other called Spinal Muscular Atrophy, which works to rob her
  of her ability to move, breath and, eventually, live. There is a drug
  that can stop this disease. It has just approved it. But accessing it
  costs $177,000, and the process of our drug plan won’t be ready for
  another year. That’s a year that our little girl can’t afford to wait.
  It would be a year of vulnerability and loss. But with your
  help, we believe we can turn it into a year of miracles! Let me
  tell you the rest of our story. Spinal Muscular Atrophy (SMA) has
  become our daily life. It’s the genetic condition most likely to kill
  children under six years of age, and our daughter has it. It’s a
  progressive lower motor neuron disease, that is loosely paralleled to
  adult ALS. But there are significant differences: most notably, SMA
  never affects cognition, so our daughter is as bright and keen as any
  other child her age. At 14 months, Hannah took her first 3 steps. She has never walked
  since then. After those first steps, she lost any strength to walk,
  then strength to pull up to stand, and then the strength to crawl. She
  can barely get from a lying position to a sitting position. Hannah is
  our mature little scholar! But she is completely dependant on us for
  dressing, toileting, and getting her in her wheelchair.But those
  things aren’t the worst. She is at an extreme risk of respiratory
  failure. Every single simple cold/viral infection is a threat. At
  least three times a year these infections strike hard enough to send
  her to the hospital. As a parent, I weep and get nauseous just
  thinking about this. I don’t want to think about what the next year
  could hold for her. But the amazing thing is that it doesn’t have
  to be that kind of year for our little girl. For over two decades
  the gene responsible for SMA has been known but there has not been a
  single available treatment. This past summer the first drug in history
  to specifically treat SMA was approved ! It is called Spinraza
  (Nusinersen). It can completely halt SMA in its path and even lead to
  some GAIN in muscle strength! This drug truly is a miracle, and
  we need our daughter on it as soon as possible. Though it’s
  approved Spinraza won’t be available on our drug plans for another
  year. It costs $177,000 to provide a year’s supply for Hannah 3 vials
  . The manufacturer, Biogen, will sell it directly to families willing
  to pay for it. This treatment WILL stop Hannah's respiratory deterioration, keep her
  hands strong, and prevent future problems in her spine that would
  require surgery.And we don’t even know what gains it might provide.
  Instead of a year of atrophy it can become a year of miracles! But we
  need your help. We do everything we can for our little girl but we
  can’t do this alone. We need to raise $177,000. Please join us
  on our journey and help to make this a year of miracles for Hannah",https://fundrazr.com/HannahsHeroes
"3,345",Top Surgery Support Fund for Nate,Canadian Dollar,,of $3k goal,44,"Hi! My name is Katie and I am creating this fundraiser to support our
  friend and community member, Nate. As some of you may know, our dear friend Nate is having top surgery
  on September 13, 2018. Top surgery is a gender-affirming procedure
  that many trans folks like Nate undergo in order to live life in a
  more comfortable, accessible way.  Nate has been on waiting lists for
  this surgery for over 5 years and he has been binding for 12 years for
  anywhere from 12 - 16 hours per day. This daily binding has taken a
  toll on his body and this surgery will greatly improve Nate's quality
  of life and the ease with which he moves through the world. As a
  community, we have an opportunity to come together to support Nate
  during this exciting and challenging time by helping him to pay for
  surgery and supporting him during his recovery time. HOW WILL THE MONEY BE USED? 1) While OHIP covers much of the cost of this surgery, there is a
  cost of $2,360 that is not covered by OHIP. We hope to raise at least
  this much money so that Nate can focus on recovery and does not have
  the burden of this surgery cost weighing on him. 2) It would be absolutely wonderful if we could raise some money to
  support Nate's costs of living and healing process while he is off
  work after his surgery. As most of Nate's friends and community know,
  he works as a baker (and is darn amazing at it!). While baking is one
  of Nate's great passions, it is also a very physically demanding job
  and will require Nate to be off of work for 8 - 12 weeks-- much longer
  than if he had a less physical job. Any money raised over and above
  the initial goal of $2,360 will go directly to supporting Nate's
  recovery. No amount is too little to donate, even if it is only a few dollars! WHAT IF YOU CAN'T AFFORD TO DONATE? It's totally okay if you aren't able to donate right now! Here are
  some other ways you can help Nate: 1) SHARE THIS FUNDRAISER! Let's get the word out there by sharing
  this fundraiser on social media - give your friends and community the
  opportunity to help out by sharing this campaign. 2) Consider creative ways that you could contribute. For example,
  maybe you don't have the cash, but maybe you work somewhere that would
  be cool with you putting out a donation jar! 3) Offer tangible support. You can reach out to Nate's partner Tanya
  at smithsalter -at- gmail -dot- com to arrange tangible support. For
  example: running errands, dropping off food, dog walking, garden help,
  etc. while Nate recovers. 3) Support The Feral Knot on Etsy and beyond! Nate's partner, Tanya, has a
  (super amazing) small business creating macrame art, rustic woodwork,
  healing plants, and facilitating macrame workshops. You can support
  The Feral Knot by liking the page on Facebook / Instagram , sharing, and as the holidays approach,
  consider supporting Nate and Tanya by supporting The Feral Knot. 4) Reach out to Nate for social get-togethers beginning 1- 2 weeks
  after surgery! Nate will be recovering for 8 - 12 weeks, and after the
  initial post-surgery period, he will appreciate friends reaching out
  for low-key coffee, picnics, and hang outs. Anyone who knows and has shared space with Nate knows that he is an
  incredible, generous, and caring human being. Nate deserves all of the
  support in the world, and I am confident that we can help to ease some
  of the financial burden that comes with surgery and post-surgery healing. WANT TO LEARN MORE? Feeling confused about top surgery, recovery times, and all of this
  other stuff? Here are some great resources about top surgery and what
  is needed for healing: https://www.healthline.com/health/transgender/top-surgery#recovery",https://fundrazr.com/natestopsurgery
"6,705",Please help Matthew!,U.S. Dollar,,of $10k goal,23,"Matthew and his sister Tiffani were born with what is called CVID,
  common variable immunodeficiency.  Both were being treated under a
  Professor,with the medication called Octagam once a month through an
  IV drip.Matthew had an unfortunate experience in the last month, where
  he had a reaction to the Octagam and caused him to end up in hospital
  having lumbar punctures, MRI scans and sonars.  Unfortunately he is
  now unable to receive the Octagam as its a gamble as to whether or not
  he would have the same issues happen again. The option now is to move
  to the subcutaneous medication which is extremely costly. The medical
  aid will cover a portion of this every month, but I am short R5000 per
  month on a 4 week month and R10000 on a 5 week month.  There is also
  the cost of a pump to purchase of over R8000 which medical aid does
  not cover. If I cannot raise enough money, Matthew will not receive
  the correct amount of medication each month, which could lead to more
  infections.  Matthew and I are requesting any form of support no
  matter how big or small that you can give us to help him lead a normal
  healthy life. Thanks to all the local and international kind hearted
  people matt could start his therapy on his correct level for this
  month. It’s been a very trying time for the past two days but my
  little boy has managed to be so brave. I can only thank the support we
  have received, please don’t stop with the support",https://fundrazr.com/11Ko66
660,Help little Bernardo,Pound Sterling,,of £800 goal,27,"For those of you who don't know me, I'm David, a primary school
  teacher in London, just having returned from a summer holiday to
  Brazil. During one of our many visits to the beach in Rio De Janeiro,
  Rafael, my 6 year old son made friends with a little Brazilian girl
  called Laura, and since then we've got to know her family. So over the
  last five or six weeks I've been learning about the sad story of
  Laura's little brother, Bernardo who is 2. He is currently in hospital
  as a result of a condition called hydrocephalus. This basically means
  he has an accumulation of spinal fluid on the brain which is causing a
  very real threat to his health. Since I met his family, he's been in
  and out of intensive care and has been in hospital for weeks now.
  Fortunately his mum was able to just about scrape together enough to
  pay for an operation a short while ago to remove the build up of
  fluid. Before that Bernardo was at risk of cardiac arrest. However for
  now, Bernardo is still stuck in the hospital because he hasn't yet had
  a more permanent solution: a valve installed to remove the excess
  spinal fluid on his brain as it continues to build up. Fortunately, his mum has a basic healthcare insurance plan through
  her bank. This has basically saved Bernardo's life over the last few
  weeks. Unfortunately, although the health insurance she has is enough
  to pay for his stay in the hospital, it does not extend to the surgery
  that he needs to keep him safe. For those who haven't been to Brazil, it is very much the haves and
  the have nots and the have nots don't have even the healthcare they
  need to, in some cases, survive. They of course have no NHS. Since
  I've known Bernardo's mum, she has lost her home, evicted because of
  paying all her money to the hospital for the last operation to keep
  Bernardo alive.  Currently her and little Laura are being housed by a
  friend, and they can't leave Rio and go back to their family because
  Bernardo is stuck in the hospital there in Rio. If Bernardo is able to have the valve operation, he will be healthy
  enough to be discharged from hospital without fear of going back into
  intensive care because of another build up of spinal fluid on the
  brain. As it stands, the hospital are itching to discharge him because
  of the flimsy health insurance plan that his family hsve, so it's a
  matter of urgency that he gets this operation quickly to keep him safe. Below, I've copied and pasted (via Google translate in Portuguese) an
  appeal from him mum, who has obviously been through a lot in the
  recent past. WHAT'S THE PRICE OF A LIFE FOR YOU? In 2016 Bernardo was born with 38 centimeters and 2.5 kg. Inside
    my belly Bernardo, was diagnosed with a disease called obstructive
    hydrocephalus. Hydrocephalus is the excessive accumulation of
    cerebrospinal fluid inside the skull, which leads to cerebral
    swelling. This type of disease occurs when there is a blockage in
    the ventricular system of the brain, preventing the cerebrospinal
    fluid from flowing normally through the brain and spinal cord. And
    through this Bernardo was born with great cerebral swelling, today
    he needs to undergo a new surgery for a valve so that the
    cerebrospinal fluid can travel through the brain normally, so he can
    survive and try to live a normal life. Today Bernardo does not walk
    and does not speak, Due to his deficiency. Today Bernardo is
    hospitalized, needing to undergo a new surgery so he can try to lead
    a normal life. In addition to this surgery, Bê needs medical
    follow-ups, remedies and physical therapy treatment. Today I and my
    family find ourselves very distressed because of poor health,
    undergoing several changes. And Bernardo trying to survive day after
    day. Being a fight for me, a single mother of two. But every day I
    look at that bed fighting to survive and where it renews my
    strength. My only hope is to see him walk and talk and to that. I'm
    struggling every day so this can be accomplished. Bê is a child full
    of will power to live and my biggest desire was to offer a better
    life for him, but I was surprised by a disease where I fight with
    him to win. We would like the help of you all  By donating what you can, you
    can save a life! OUR BERNARDO DESERVES TO LIVE! HELP HIM TO LIVE! WE CONTINUE WITH
    HIS HELP. I don't usually do these types of things, but this story in
  particular touched me first because of my son making friends with them
  on the beach and secondly because it made me wonder what I would do if
  it was my son in that situation and I couldn't manage to get him the
  health care he needed just to live and be safe. So I really wanted to
  help and I thought crowdfunding and social media would be the best
  way. I just really wanted to do SOMETHING. So please, any small
  donation would help. As you can see, Bernardo's mum says that even
  post operation he will need to do physical therapy and other things afterwards. They have tried to do Crowdfunding out there in Brazil, but it hasn't
  worked so well. The pound goes a lot further out there than the
  Brazilian Real (R$), so I think that a many small donations from us
  over here could make a massive difference and take them to the target
  of the operation. Obviously I'd be very grateful, his family would be
  much more so and of course I would promise to keep you update on his progress.",https://fundrazr.com/HelplittleBernardo
"1,250",VIOLET'S MEDICAL APPEAL,U.S. Dollar,,of $8k goal,2,"I can't hold myself together anymore. I know most of you won't
  believe that the situation can be as bad as in the pictures but please
  walk with me to the end. Violet is a 10 year old who needs our financial support. She has had
  a growth on her face since last year February that has now turned into
  cancer eating up her face. This has denied her the basic right to education. She is under
  regular medical check ups awaiting surgery scheduled for 16th December
  2018 at Kenyatta hospital. Being a single mum, Christine Wangui, has been overstretched and now
  has no money to help her only child. Having taken a loan from the bank
  and all other options that teachers are subjected to. Please support us to raise  $1500 for the remaining 2 months check
  ups and $6500 for her December surgery. No amount is too small for
  saving Violet Global initiative for peace, love and care. Mums number +254740410609 May God bless you abundantly. #SharingIsCaring",https://fundrazr.com/f1PwKc
"3,000",Aqua Deli for the mentally ill patients,U.S. Dollar,,of $50k goal,1,"Our Solution to aid mentally ill patients through our project, below
  are ways to show you how:- Change of Environment ( Less Stressful environment), Greenery environment Healthy Food ( Best if plant your own food and eat your harvest) Learn new skills ( Baking, Planting, Social skills- Meet up with
    more new friends) Be occupied all the time- “There are always things to do”. Exercising (without need of gym equipment) Offering Chances to explore new things “A New Meaning in Life” Being said the above, is through experience which we tried, and seems
  to help a test patient condition to be better. By combining the setup of Aquaponics system and Deli Kitchen can help
  to provide mentally ill patients in such:- Providing income Helping them learning new skills Meeting up with different people Eating healthy Helping them utilizing their time properly Helping them to understand the better meaning of survival Reducing their mental stress We have been understand, researching and planning for nearly 8- 10
  years for this project, we feel that most of the time, humans need
  each other to cope with day to day life, and building a meaning in life. In this fast moving era, people struggling to cope with stress, and
  quite a number of them develop stress symptoms such as mental illness,
  which there is no medicine can help to cure, and most of the medicines
  provided by all clinics and hospitals do have serious side-effects,
  for example weigh gain and others unhealthy conditions for these
  mentally ill patients. Also society having a hard time to assist these mentally ill
  patients, therefore there is a need for us to have this project to
  help them. By understand what caused mental illness, we have develop this
  project to its maximum potential and sustainability. Every quarterly and yearly, the society organized a lot of fund
  raising to help these people, much money have been raised, but never
  enough to support the needs and care for these mentally and disability
  people. Therefore, we feel there is a need to have this project, and
  soon we will have this project all over the world to support these people. Therefore, we created “AQUADELI”. AquaDeli is create based on having a true 100% sustainable Aquaponic
  System, which capable of powering by itself and Deli Kitchen to
  showcase affordable good healthy food from our Aquaponic harvest. The KEY: Our Aquaponics System is capable to power the entire setup
    together with the deli kitchen electrical requirements. Does not need Solar Panels, Does not need Wind Turbine, Does not need Diesel Generators, Basically, we harness the energy from the moving water, and the
  chemical properties of water to create energy, as we know that
  electricity cost is very expensive. So we have develop a system with
  the help of our engineers to make full use of the environment “NATURE”
  around us to give us FREE Energy. Aquaponics is using Fishes, Prawns and Seeds: It is a simple Food chain process which make this whole
        project run. Meaning, plants from seeds needs nutrients and
        water to grow, by making use of “Fish poo (Manure)”, plants are
        able to grow better, naturally and chemical-free conditions. Why Prawns? Prawns are needed in this system, they act as the
        filter and composter for the Fish Poo, breaking down poo so that
        plant roots are able to pick and absorb nutrients from the water. And best of all, we do not need expensive or any man made
        filter to clean the water, as the water pass through the roots
        of the plants, it is cleaned and send back to the fishes. In
        this way, we do not have to change water for the fish or the
        whole system forever. Deli Kitchen Charles and Samantha have been self-trained chefs by Gordon
        Ramsay, Raymond Blanc and some other World Renowned Chef to
        create food from the garden. We have been cooking these food for more than 8 years, sampled
        by many people around us, and responds are very good. Making use of this Deli Kitchen, we are able to :- Develop new healthy food, Increase profits for the project, Creating the awareness of different types of healthy food, Awareness & existence of such a project to the world. Deli Kitchen is powered by the Aquaponics System. Especially Ovens, Cooktops, Fridges, etc. Lightings, Ventilations, etc. There are many Aquaponic System in the world, but what makes us
  unique is because it is fully sustainable and it is the first of its
  kind in the world, and it is the perfect project to serve our mission
  to help mentally, disabilities, and sustainable healthy chemical free food.",https://fundrazr.com/aquadeliformentally
"16,595",Held for Ransom,,,,,"Held for Ransom Please help us to raise money for our good friend and colleague Mark Ransom , bass player with the Saloon Pilots,
  who also makes appearances with Doolin Rakes , Louise
  Taylor , and Hooligan's Harp . Mark is currently
  undergoing chemotherapy and radiation treatments for stage 3
    throat cancer (Mark is a lifelong non-smoker). We wish to
  contribute financial support to help Mark through this very difficult
  time. We would be most grateful for your donations, which can be made
  online, as well as at our benefit show 'Held for Ransom' taking place
  on Thursday, April 17th at 7pm. at Crossroads at Hawaiian Brian's in
  Honolulu, Hawaii. All of the bands that Mark has played with will be
  performing.There will be wonderful raffle prizes, such as musical
  instruments and musical entertainment packages, as well as pupus and
  drink specials. Please join us in any way you can, your support and
  generosity will make this a great success!! Aloha nui.",https://fundrazr.com/ciqsd
